type,key,description,weight,min_years
required,ci/cd,Required skill: ci/cd,1,
preferred,ci/cd,Experience with version control (Git) and CI/CD pipelines.,0.6,
required,git,Required skill: git,1,
preferred,git,Experience with version control (Git) and CI/CD pipelines.,0.6,
required,organizational design,Required skill: organizational design,1,
preferred,organizational design,"Execute the full software development lifecycle, from requirements gathering to deployment and maintenance.",0.6,
preferred,organizational design,3+ years of professional software development experience.,0.6,
required,project management,Required skill: project management,1,
preferred,project management,"Collaborate with product managers, UX designers, and other engineers to deliver high‑quality features.",0.6,
required,python,Required skill: python,1,
preferred,python,"Design and implement well‑structured, testable, and efficient code in languages such as Java, C#, Python, or JavaScript.",0.6,
preferred,python,"Proficiency with at least one modern programming language (e.g., Java, C#, Python, JavaScript/TypeScript).",0.6,
required,r,Required skill: r,1,
preferred,r,Summary:,0.6,
preferred,r,"The Software Engineer designs, develops, tests, and maintains software applications that solve business problems and improve operational efficiency.",0.6,
preferred,r,Responsibilities:,0.6,
preferred,r,"Execute the full software development lifecycle, from requirements gathering to deployment and maintenance.",0.6,
preferred,r,"Design and implement well‑structured, testable, and efficient code in languages such as Java, C#, Python, or JavaScript.",0.6,
preferred,r,Integrate software components and third‑party APIs into fully functional systems.,0.6,
preferred,r,"Develop and maintain technical documentation, including specifications, diagrams, and release notes.",0.6,
preferred,r,"Collaborate with product managers, UX designers, and other engineers to deliver high‑quality features.",0.6,
preferred,r,"Participate in code reviews, testing, and debugging to improve code quality and reliability.",0.6,
preferred,r,"Monitor, troubleshoot, and optimize applications for performance and scalability.",0.6,
preferred,r,Requirements:,0.6,
preferred,r,"Bachelor’s degree in Computer Science, Engineering, or related field (or equivalent experience).",0.6,
preferred,r,3+ years of professional software development experience.,0.6,
preferred,r,"Proficiency with at least one modern programming language (e.g., Java, C#, Python, JavaScript/TypeScript).",0.6,
preferred,r,Experience with version control (Git) and CI/CD pipelines.,0.6,
preferred,r,Familiarity with relational and/or NoSQL databases.,0.6,
preferred,r,"Understanding of SDLC, design patterns, and testing practices.",0.6,
preferred,r,Strong problem‑solving and communication skills.,0.6,
required,scala,Required skill: scala,1,
preferred,scala,"Monitor, troubleshoot, and optimize applications for performance and scalability.",0.6,
required,sql,Required skill: sql,1,
preferred,sql,Familiarity with relational and/or NoSQL databases.,0.6,
